RSSI,LQI,BatteryLevel,BatteryDiff,AntennaAngle
-43,107,2803,0.0,90
-43,107,2805,2.0,90
-42,105,2805,0.0,90
-42,108,2805,0.0,90
-44,108,2803,-2.0,90
-43,105,2805,2.0,90
-45,108,2804,-1.0,90
-44,107,2804,0.0,90
-45,108,2804,0.0,90
-45,106,2807,3.0,90
-43,107,2804,-3.0,90
-45,108,2805,1.0,90
-43,107,2803,-2.0,90
-45,108,2805,2.0,90
-43,108,2804,-1.0,90
-44,106,2805,1.0,90
-44,108,2804,-1.0,90
-44,106,2807,3.0,90
-44,106,2804,-3.0,90
-43,107,2805,1.0,90
-43,106,2804,-1.0,90
-43,107,2805,1.0,90
-43,107,2805,0.0,90
-45,108,2805,0.0,90
-42,108,2805,0.0,90
-43,107,2808,3.0,90
-43,107,2803,-5.0,90
-43,108,2807,4.0,90
-43,108,2804,-3.0,90
-43,108,2805,1.0,90
-43,107,2805,0.0,90
-43,106,2807,2.0,90
-43,107,2804,-3.0,90
-43,108,2805,1.0,90
-43,108,2804,-1.0,90
-43,108,2807,3.0,90
-43,106,2805,-2.0,90
-43,108,2808,3.0,90
-42,104,2804,-4.0,90
-45,108,2805,1.0,90
-56,106,2804,-1.0,90
-44,107,2807,3.0,90
-45,108,2804,-3.0,90
-45,107,2807,3.0,90
-45,107,2804,-3.0,90
-45,108,2808,4.0,90
-45,108,2804,-4.0,90
-45,108,2805,1.0,90
-46,108,2804,-1.0,90
-45,107,2807,3.0,90
-45,108,2805,-2.0,90
-45,108,2807,2.0,90
-45,105,2804,-3.0,90
-45,107,2807,3.0,90
-45,108,2804,-3.0,90
-46,108,2807,3.0,90
-46,107,2805,-2.0,90
-45,108,2807,2.0,90
-45,108,2804,-3.0,90
-45,108,2807,3.0,90
-45,105,2805,-2.0,90
-45,108,2805,0.0,90
-45,108,2804,-1.0,90
-45,108,2807,3.0,90
-46,108,2804,-3.0,90
-45,107,2807,3.0,90
-45,108,2805,-2.0,90
-45,106,2807,2.0,90
-46,107,2805,-2.0,90
-46,108,2807,2.0,90
